text,options1,options2,options3,options4,correctAnswer,explanation,explanationImage,
低体温症の疑いがある人を発見しました。適切な処置はどれですか？,温かい飲み物を与え、体を温める,毛布などでくるみ、保温する,熱いお風呂に入れて温める,濡れた衣服を着替えさせ、マッサージする,2,低体温症の人は、ゆっくりと体を温める必要があります。温かい飲み物は有効ですが、アルコールは避けましょう。急激な温度変化は体に負担をかけるため、熱いお風呂は避けて、毛布などで保温し、医療機関へ搬送しましょう。,,
冷え切った体を温めるのに、湯たんぽを使うと効果的です。低体温症を防ぐために、湯たんぽを当てるのに最も適切な体の部位はどこでしょうか？,手,足,胸,お腹,3,湯たんぽで体を温める場合、最も効果的なのは胸に当てることです。心臓付近を温めることで、温まった血液が全身に巡り、効率的に体を温めることができます。,,
傷口の出血を止めるための方法として最も適切な処置はどれですか？,傷口より心臓に近い部分を紐で強く縛る,傷口に氷を直接当てて冷やす,清潔なガーゼなどを当てて、強く圧迫する,すぐに救急車を呼ぶ,3,出血している傷口には、清潔なガーゼやハンカチなどを当て、直接圧迫するのが最も適切な止血方法です。強く圧迫することで、血管を塞ぎ、出血を止めることができます。,src/image/cyokusetuappaku.jpg,
食べ物による窒息事故を防ぐために、特に乳幼児や高齢者が気を付けるべきことはどれでしょう？,固い食べ物は避け、ゼリーやプリンなどの柔らかい食べ物だけを食べる。,テレビを見ながら、または歩きながら食べると、むせるのを防げるので良い。,食べ物を小さく切り、よく噛んで食べる。食事中は静かにするようにする。,のどに詰まったら、すぐに周りの人に助けを求めずに、自分で水をたくさん飲んで流し込む。,3,幼児や高齢者は、食べ物をよく噛み砕く力や、飲み込む力が弱い場合があります。そのため、食べ物を小さく切り、よく噛んで食べることが大切です。また、食事中に遊んだり、話したり、歩いたりすると、誤って食べ物が気管に入ってしまう危険性が高まります。静かに食事をするようにしましょう。柔らかい食べ物でも、こんにゃくゼリーのように、形状によっては窒息の危険があるものもあります。また、のどに詰まった場合は、無理に水を飲もうとすると、さらに気管を塞いでしまう可能性があります。すぐに周りの人に助けを求め、背中を叩いてもらうなどの処置を受けましょう。,,
熱いお鍋に触れて、腕をやけどしてしまいました。正しい応急処置はどれでしょう。,すぐに腕時計を外し、氷水で冷やす。,服の上から流水を15分以上冷やす。,バターをやけどしたところに塗って、ガーゼで保護する。,冷蔵庫から保冷剤を取り出し、タオルに包んで患部にあてる。,2,やけどをしたら、まず流水で冷やすことが大切です。服を着たままでも、まずは15分以上流水で冷やし続けましょう。服を脱がそうとすると、皮膚を傷つけることがあるので、無理に脱がさないようにします。,,
2024年の出動件数が最も多い日に同時に出動していた松山市の救急車は何両でしょうか？?,4台,7台,11台,15台,3,救急車の出動件数は年々増加しており、2024年の出動件数が最も多い日に同時に出動していた松山市の救急車は11両でした。以下の図は2024年の出動件数が最も多かった日の救急車の出動状況を表したガントチャートです。緊急性の高い傷病者のもとへ、救急車がより早く到着できるよう救急車適正利用をお願いします。,src/image/7.jpg,
次のうち、119番通報が必要な場面はどれでしょうか？,指を軽く切ってしまい出血している ,誰かが突然「片方の腕がしびれて動かない」と言っている ,誰かのくしゃみがずっと止まらない ,誰かが転んで足を痛めたが、自分で立ち上がり歩ける ,2,片方の腕が突然動かなくなるのは、脳卒中（脳血管障害）の可能性があります。脳卒中は一刻も早い治療が必要で、すぐに119番に通報して救急車を呼ぶことが重要です。脳卒中の他のサインとして、顔が片方だけ動かない、言葉が出にくくなるなどがあります。 ,,
次のうち、誰かが突然倒れて呼吸が確認できない場合の正しい対応はどれでしょうか？ ,119番通報後、AEDが到着するまで待つ,119番通報後、心臓マッサージを開始する ,すぐに息を吹き返すかもしれないので観察する ,病院にいくように促して付き添う ,2,倒れた人が呼吸をしていない場合、心肺停止の可能性があります。このとき、AEDが到着するまで待つのではなく、心臓マッサージをすぐに始めてください。胸の真ん中を1分間に100～120回の速さで押すことで、血液が脳や他の重要な臓器に送られます。AEDが到着したら、使用方法に従って操作してください。観察や病院への付き添いだけでは命を救う時間を逃す可能性があります。 ,,
骨折や捻挫が疑われるものの、緊急ではない場合、次のうち最も適切な行動はどれでしょう？,7119（救急相談センター）に電話して指示を仰ぐ ,すぐに119番通報して救急車を呼ぶ ,患部を動かしながら様子を見る ,病院に直接行かず、自宅で様子をみる,1,骨折や捻挫が疑われても緊急性がない場合、7119に電話することで、適切な対処方法や医療機関の案内を受けることができます。119番は生命に関わる緊急時に使用するもので、軽度の症状では適していません。冷やして固定するなどの応急処置を行い、相談したうえで必要なら医療機関を受診しましょう。 ,src/image/5.jpg,
次のうち、熱中症が疑われる人を見つけた場合の正しい初期対応はどれでしょうか？,水分を摂らせ、涼しい場所で休ませる ,その場で横にさせ、様子を見る ,すぐに救急車を呼び、動かさない ,無理に水を飲ませたり、冷たいシャワーを浴びさせる ,1,熱中症の初期対応では、まず涼しい場所に移動させて体温を下げることが最優先です。次に水分補給を促し、体内の水分バランスを整えます。ただし、意識がない場合や自力で飲み込むのが難しい場合は、無理に水を飲ませず、すぐに医療機関や119番通報で対応を依頼してください。症状が重ければ専門の助けが必要です。 ,,
次のうち、ヒートショックを予防するために正しい行動はどれでしょうか？,暖房を使って脱衣所や浴室を温めておく ,冬でも省エネのために暖房を使わない ,熱いお風呂に急いで入って体を温める ,お風呂に入る前に冷たい水を飲む ,1,ヒートショックは、寒い場所と暖かい場所の急激な温度差で血圧が変動し、心臓や血管に負担がかかる現象です。脱衣所や浴室を暖房で温め、温度差を小さくすることで予防できます。熱いお風呂に急いで入ると逆に負担が大きくなるため、避けてください。,,
